
---------- Begin Simulation Statistics ----------
simSeconds                                   0.029959                       # Number of seconds simulated (Second)
simTicks                                  29959334000                       # Number of ticks simulated (Tick)
finalTick                                 29959334000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    431.19                       # Real time elapsed on the host (Second)
hostTickRate                                 69481337                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     796660                       # Number of bytes of host memory used (Byte)
simInsts                                    104693735                       # Number of instructions simulated (Count)
simOps                                      190503147                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   242804                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     441813                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                         3153142                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       11864146                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     302                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      11853946                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   213                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              115320                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           103658                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                146                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples            3110446                       # Number of insts issued each cycle
system.cpu0.numIssuedDist::mean              3.811012                       # Number of insts issued each cycle
system.cpu0.numIssuedDist::stdev             2.185035                       # Number of insts issued each cycle
system.cpu0.statIssuedInstType_0::IntDiv           36      0.00%     77.04% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatAdd        20193      0.17%     77.21% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatCmp            0      0.00%     77.21% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatCvt            0      0.00%     77.21% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMult            0      0.00%     77.21% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMultAcc            0      0.00%     77.21% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatDiv            0      0.00%     77.21% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMisc            0      0.00%     77.21% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatSqrt            0      0.00%     77.21% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAdd            0      0.00%     77.21% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAddAcc            0      0.00%     77.21% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAlu          181      0.00%     77.21% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdCmp            0      0.00%     77.21% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdCvt           52      0.00%     77.21% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMisc        10276      0.09%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMult            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMultAcc            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShift            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShiftAcc            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdDiv            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSqrt            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatAdd            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatAlu            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatCmp            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatCvt            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatDiv            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMisc            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMult            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceAdd            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceAlu            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceCmp            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAes            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAesMix            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha1Hash            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha256Hash            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShaSigma2            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShaSigma3            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdPredAlu            0      0.00%     77.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::MemRead      1523909     12.86%     90.15% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::MemWrite      1066366      9.00%     99.15% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMemRead        40233      0.34%     99.49% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMemWrite        60959      0.51%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::total      11853946                       # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issueRate                        3.759408                       # Inst issue rate ((Count/Cycle))
system.cpu0.fuBusy                             105556                       # FU busy when requested (Count)
system.cpu0.fuBusyRate                       0.008905                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu0.intInstQueueReads                26629876                       # Number of integer instruction queue reads (Count)
system.cpu0.intInstQueueWrites               11847166                       # Number of integer instruction queue writes (Count)
system.cpu0.intInstQueueWakeupAccesses       11697979                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu0.fpInstQueueReads                   294231                       # Number of floating instruction queue reads (Count)
system.cpu0.fpInstQueueWrites                  132700                       # Number of floating instruction queue writes (Count)
system.cpu0.fpInstQueueWakeupAccesses          131974                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu0.vecInstQueueReads                       0                       # Number of vector instruction queue reads (Count)
system.cpu0.vecInstQueueWrites                      0                       # Number of vector instruction queue writes (Count)
system.cpu0.vecInstQueueWakeupAccesses              0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu0.intAluAccesses                   11745120                       # Number of integer alu accesses (Count)
system.cpu0.fpAluAccesses                      152156                       # Number of floating point alu accesses (Count)
system.cpu0.vecAluAccesses                          0                       # Number of vector alu accesses (Count)
system.cpu0.idleCycles                              0                       # Number of cycles IEW is idle (Cycle)
system.cpu0.squashCycles                         4986                       # Number of cycles IEW is squashing (Cycle)
system.cpu0.blockCycles                         17567                       # Number of cycles IEW is blocking (Cycle)
system.cpu0.unblockCycles                        1620                       # Number of cycles IEW is unblocking (Cycle)
system.cpu0.dispatchedInsts                  11864448                       # Number of instructions dispatched to IQ (Count)
system.cpu0.dispSquashedInsts                     159                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu0.dispLoadInsts                     1555062                       # Number of dispatched load instructions (Count)
system.cpu0.dispStoreInsts                    1129090                       # Number of dispatched store instructions (Count)
system.cpu0.dispNonSpecInsts                      102                       # Number of dispatched non-speculative instructions (Count)
system.cpu0.iqFullEvents                          116                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu0.lsqFullEvents                        1490                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu0.memOrderViolationEvents               101                       # Number of memory order violations (Count)
system.cpu0.predictedTakenIncorrect              1874                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu0.predictedNotTakenIncorrect           4101                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu0.branchMispredicts                    5975                       # Number of branch mispredicts detected at execute (Count)
system.cpu0.numInsts                         11841723                       # Number of executed instructions (Count)
system.cpu0.numLoadInsts                      1563071                       # Number of load instructions executed (Count)
system.cpu0.numSquashedInsts                    12223                       # Number of squashed instructions skipped in execute (Count)
system.cpu0.numSwp                                  0                       # Number of swp insts executed (Count)
system.cpu0.numNop                                  0                       # Number of nop insts executed (Count)
system.cpu0.numRefs                           2689165                       # Number of memory reference insts executed (Count)
system.cpu0.numBranches                       1370019                       # Number of branches executed (Count)
system.cpu0.numStoreInsts                     1126094                       # Number of stores executed (Count)
system.cpu0.numRate                          3.755531                       # Inst execution rate ((Count/Cycle))
system.cpu0.instsToCommit                    11830748                       # Cumulative count of insts sent to commit (Count)
system.cpu0.writebackCount                   11829953                       # Cumulative count of insts written-back (Count)
system.cpu0.producerInst                      8225904                       # Number of instructions producing a value (Count)
system.cpu0.consumerInst                     12549429                       # Number of instructions consuming a value (Count)
system.cpu0.wbRate                           3.751798                       # Insts written-back per cycle ((Count/Cycle))
system.cpu0.wbFanout                         0.655480                       # Average fanout of values written-back ((Count/Count))
system.cpu0.timesIdled                            508                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu0.idleCycles                          42696                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu0.quiesceCycles                    56765527                       # Total number of cycles that CPU has spent quiesced or waiting for an interrupt (Cycle)
system.cpu0.committedInsts                    6402026                       # Number of Instructions Simulated (Count)
system.cpu0.committedOps                     11749122                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu0.cpi                              0.492523                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu0.totalCpi                         0.492523                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu0.ipc                              2.030364                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu0.totalIpc                         2.030364                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu0.intRegfileReads                  17836576                       # Number of integer regfile reads (Count)
system.cpu0.intRegfileWrites                  9221328                       # Number of integer regfile writes (Count)
system.cpu0.fpRegfileReads                      92204                       # Number of floating regfile reads (Count)
system.cpu0.fpRegfileWrites                     71009                       # Number of floating regfile writes (Count)
system.cpu0.ccRegfileReads                    6852746                       # number of cc regfile reads (Count)
system.cpu0.ccRegfileWrites                   3490236                       # number of cc regfile writes (Count)
system.cpu0.miscRegfileReads                  5424379                       # number of misc regfile reads (Count)
system.cpu0.MemDepUnit__0.insertedLoads       1555062                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.insertedStores      1129090                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.conflictingLoads        48668                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__0.conflictingStores        58101                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__1.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__2.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__3.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.branchPred.lookups                1386617                       # Number of BP lookups (Count)
system.cpu0.branchPred.condPredicted          1152543                       # Number of conditional branches predicted (Count)
system.cpu0.branchPred.condIncorrect             5155                       # Number of conditional branches incorrect (Count)
system.cpu0.branchPred.BTBLookups              609323                       # Number of BTB lookups (Count)
system.cpu0.branchPred.BTBHits                 607970                       # Number of BTB hits (Count)
system.cpu0.branchPred.BTBHitRatio           0.997780                       # BTB Hit Ratio (Ratio)
system.cpu0.branchPred.RASUsed                  50745                       # Number of times the RAS was used to get a target. (Count)
system.cpu0.branchPred.RASIncorrect                 2                       # Number of incorrect RAS predictions. (Count)
system.cpu0.branchPred.indirectLookups          20485                       # Number of indirect predictor lookups. (Count)
system.cpu0.branchPred.indirectHits             20015                       # Number of indirect target hits. (Count)
system.cpu0.branchPred.indirectMisses             470                       # Number of indirect misses. (Count)
system.cpu0.branchPred.indirectMispredicted          130                       # Number of mispredicted indirect branches. (Count)
system.cpu0.commit.commitSquashedInsts         114788                       # The number of squashed insts skipped by commit (Count)
system.cpu0.commit.commitNonSpecStalls            156                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu0.commit.branchMispredicts             4857                       # The number of times a branch was mispredicted (Count)
system.cpu0.commit.numCommittedDist::samples      3093158                       # Number of insts commited each cycle
system.cpu0.commit.numCommittedDist::mean     3.798423                       # Number of insts commited each cycle
system.cpu0.commit.numCommittedDist::stdev     2.923717                       # Number of insts commited each cycle
system.cpu0.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle
system.cpu0.commit.numCommittedDist::0         447018     14.45%     14.45% # Number of insts commited each cycle
system.cpu0.commit.numCommittedDist::1         553283     17.89%     32.34% # Number of insts commited each cycle
system.cpu0.commit.numCommittedDist::2         200872      6.49%     38.83% # Number of insts commited each cycle
system.cpu0.commit.numCommittedDist::3         516853     16.71%     55.54% # Number of insts commited each cycle
system.cpu0.commit.numCommittedDist::4         142000      4.59%     60.13% # Number of insts commited each cycle
system.cpu0.commit.numCommittedDist::5         219807      7.11%     67.24% # Number of insts commited each cycle
system.cpu0.commit.numCommittedDist::6         195941      6.33%     73.57% # Number of insts commited each cycle
system.cpu0.commit.numCommittedDist::7         138217      4.47%     78.04% # Number of insts commited each cycle
system.cpu0.commit.numCommittedDist::8         679167     21.96%    100.00% # Number of insts commited each cycle
system.cpu0.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle
system.cpu0.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle
system.cpu0.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle
system.cpu0.commit.numCommittedDist::total      3093158                       # Number of insts commited each cycle
system.cpu0.commit.instsCommitted             6402026                       # Number of instructions committed (Count)
system.cpu0.commit.opsCommitted              11749122                       # Number of ops (including micro ops) committed (Count)
system.cpu0.commit.memRefs                    2666809                       # Number of memory references committed (Count)
system.cpu0.commit.loads                      1546805                       # Number of loads committed (Count)
system.cpu0.commit.amos                             0                       # Number of atomic instructions committed (Count)
system.cpu0.commit.membars                        104                       # Number of memory barriers committed (Count)
system.cpu0.commit.branches                   1361317                       # Number of branches committed (Count)
system.cpu0.commit.vectorInstructions               0                       # Number of committed Vector instructions. (Count)
system.cpu0.commit.floating                    131642                       # Number of committed floating point instructions. (Count)
system.cpu0.commit.integer                   11657919                       # Number of committed integer instructions. (Count)
system.cpu0.commit.functionCalls                50246                       # Number of function calls committed. (Count)
system.cpu0.commit.committedInstType_0::No_OpClass        60525      0.52%      0.52% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntAlu      8972130     76.36%     76.88% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntMult        19052      0.16%     77.04% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntDiv           28      0.00%     77.04% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatAdd        20158      0.17%     77.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCmp            0      0.00%     77.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCvt            0      0.00%     77.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMult            0      0.00%     77.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMultAcc            0      0.00%     77.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatDiv            0      0.00%     77.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMisc            0      0.00%     77.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatSqrt            0      0.00%     77.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAdd            0      0.00%     77.21% # Class of committed instruction (Count)
